"","OTU","Sample","Abundance","X.Sample","MeatType","Packaging","SampleOrder","combine","Domain","Phylum","Class","Order","Family","Genus"
"46","Otu0002","BRVA4",17.63420933,"BRVA4","Breast","Vacuum",4,"BRVA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillales_unclassified","Lactobacillales_unclassified"
"47","Otu0001","WHRG3",17.44987537,"WHRG3","Whole chicken","Regular aerobic",23,"WHRG","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"48","Otu0009","BRVA1",15.0319691,"BRVA1","Breast","Vacuum",1,"BRVA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc"
"49","Otu0013","BRRG1",14.4962576,"BRRG1","Breast","Regular aerobic",11,"BRRG","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"50","Otu0001","BRMA10",12.87403552,"BRMA10","Breast","Modified atmosphere",40,"BRMA","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"51","Otu0008","BRVA1",12.7580193,"BRVA1","Breast","Vacuum",1,"BRVA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus"
"52","Otu0009","BRVA9",12.6483376,"BRVA9","Breast","Vacuum",9,"BRVA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc"
"53","Otu0013","BRMA9",12.4995857,"BRMA9","Breast","Modified atmosphere",39,"BRMA","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"54","Otu0001","BRMA9",12.28660021,"BRMA9","Breast","Modified atmosphere",39,"BRMA","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"55","Otu0005","BRVA9",11.702236,"BRVA9","Breast","Vacuum",9,"BRVA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Brochothrix"
"56","Otu0005","BRMA8",11.48813462,"BRMA8","Breast","Modified atmosphere",38,"BRMA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Brochothrix"
"57","Otu0001","BRVA4",11.43931181,"BRVA4","Breast","Vacuum",4,"BRVA","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"58","Otu0001","BRVA9",11.34304606,"BRVA9","Breast","Vacuum",9,"BRVA","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"59","Otu0002","WHRG5",11.27471509,"WHRG5","Whole chicken","Regular aerobic",25,"WHRG","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillales_unclassified","Lactobacillales_unclassified"
"60","Otu0009","BRVA2",11.1154596,"BRVA2","Breast","Vacuum",2,"BRVA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc"
"61","Otu0001","BRVA6",10.88126196,"BRVA6","Breast","Vacuum",6,"BRVA","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"62","Otu0002","WHRG1",10.65847301,"WHRG1","Whole chicken","Regular aerobic",21,"WHRG","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillales_unclassified","Lactobacillales_unclassified"
"63","Otu0005","BRRG9",10.60023161,"BRRG9","Breast","Regular aerobic",19,"BRRG","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Brochothrix"
"64","Otu0005","BRVA10",10.34398867,"BRVA10","Breast","Vacuum",10,"BRVA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Brochothrix"
"65","Otu0009","BRVA3",9.83959647,"BRVA3","Breast","Vacuum",3,"BRVA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc"
"66","Otu0005","BRRG3",9.719233505,"BRRG3","Breast","Regular aerobic",13,"BRRG","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Brochothrix"
"67","Otu0009","BRVA4",9.58683209,"BRVA4","Breast","Vacuum",4,"BRVA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc"
"68","Otu0013","WHRG6",9.251737924,"WHRG6","Whole chicken","Regular aerobic",26,"WHRG","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"69","Otu0008","BRVA6",8.57258856,"BRVA6","Breast","Vacuum",6,"BRVA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus"
"70","Otu0003","BRRG8",7.796310563,"BRRG8","Breast","Regular aerobic",18,"BRRG","Bacteria","Firmicutes","Bacilli","Bacilli_unclassified","Bacilli_unclassified","Bacilli_unclassified"
"71","Otu0005","BRVA5",7.623224123,"BRVA5","Breast","Vacuum",5,"BRVA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Brochothrix"
"72","Otu0002","BRMA1",7.419757468,"BRMA1","Breast","Modified atmosphere",31,"BRMA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillales_unclassified","Lactobacillales_unclassified"
"73","Otu0013","BRRG2",7.39042172,"BRRG2","Breast","Regular aerobic",12,"BRRG","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"74","Otu0002","WHRG2",7.305625161,"WHRG2","Whole chicken","Regular aerobic",22,"WHRG","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillales_unclassified","Lactobacillales_unclassified"
"75","Otu0003","BRRG4",7.293220839,"BRRG4","Breast","Regular aerobic",14,"BRRG","Bacteria","Firmicutes","Bacilli","Bacilli_unclassified","Bacilli_unclassified","Bacilli_unclassified"
"76","Otu0001","BRVA3",6.842819138,"BRVA3","Breast","Vacuum",3,"BRVA","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"77","Otu0001","BRVA10",6.761590825,"BRVA10","Breast","Vacuum",10,"BRVA","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"78","Otu0013","BRMA1",6.76028378,"BRMA1","Breast","Modified atmosphere",31,"BRMA","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"79","Otu0001","BRVA8",6.491737009,"BRVA8","Breast","Vacuum",8,"BRVA","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"80","Otu0001","BRVA1",6.426048132,"BRVA1","Breast","Vacuum",1,"BRVA","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"81","Otu0009","BRVA7",6.37343714,"BRVA7","Breast","Vacuum",7,"BRVA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc"
"82","Otu0008","BRVA2",6.29732582,"BRVA2","Breast","Vacuum",2,"BRVA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus"
"83","Otu0013","WHRG10",6.073862994,"WHRG10","Whole chicken","Regular aerobic",30,"WHRG","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"84","Otu0013","BRMA10",5.865046155,"BRMA10","Breast","Modified atmosphere",40,"BRMA","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"85","Otu0009","BRVA6",5.86197056,"BRVA6","Breast","Vacuum",6,"BRVA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc"
"86","Otu0005","BRVA2",5.835974968,"BRVA2","Breast","Vacuum",2,"BRVA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Brochothrix"
"87","Otu0003","BRRG1",5.608588822,"BRRG1","Breast","Regular aerobic",11,"BRRG","Bacteria","Firmicutes","Bacilli","Bacilli_unclassified","Bacilli_unclassified","Bacilli_unclassified"
"88","Otu0013","BRMA8",5.452740053,"BRMA8","Breast","Modified atmosphere",38,"BRMA","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"89","Otu0002","BRVA8",5.440600045,"BRVA8","Breast","Vacuum",8,"BRVA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillales_unclassified","Lactobacillales_unclassified"
"90","Otu0013","WHRG8",5.234014439,"WHRG8","Whole chicken","Regular aerobic",28,"WHRG","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"91","Otu0013","BRRG6",5.18556053,"BRRG6","Breast","Regular aerobic",16,"BRRG","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"92","Otu0005","BRMA2",5.170691063,"BRMA2","Breast","Modified atmosphere",32,"BRMA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Brochothrix"
"93","Otu0013","WHRG7",5.157999918,"WHRG7","Whole chicken","Regular aerobic",27,"WHRG","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"94","Otu0001","WHRG4",5.075326986,"WHRG4","Whole chicken","Regular aerobic",24,"WHRG","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"95","Otu0005","BRRG2",4.616396571,"BRRG2","Breast","Regular aerobic",12,"BRRG","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Brochothrix"
"96","Otu0013","WHRG2",4.614371101,"WHRG2","Whole chicken","Regular aerobic",22,"WHRG","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"97","Otu0008","BRVA9",4.56773783,"BRVA9","Breast","Vacuum",9,"BRVA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus"
"98","Otu0013","WHRG1",4.499889053,"WHRG1","Whole chicken","Regular aerobic",21,"WHRG","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"99","Otu0013","WHRG9",4.299453323,"WHRG9","Whole chicken","Regular aerobic",29,"WHRG","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"100","Otu0008","BRVA3",4.29350373,"BRVA3","Breast","Vacuum",3,"BRVA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus"
"101","Otu0005","BRRG5",4.238945918,"BRRG5","Breast","Regular aerobic",15,"BRRG","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Brochothrix"
"102","Otu0008","BRVA8",4.19848506,"BRVA8","Breast","Vacuum",8,"BRVA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus"
"103","Otu0003","BRRG2",3.861893939,"BRRG2","Breast","Regular aerobic",12,"BRRG","Bacteria","Firmicutes","Bacilli","Bacilli_unclassified","Bacilli_unclassified","Bacilli_unclassified"
"104","Otu0003","BRRG6",3.772561745,"BRRG6","Breast","Regular aerobic",16,"BRRG","Bacteria","Firmicutes","Bacilli","Bacilli_unclassified","Bacilli_unclassified","Bacilli_unclassified"
"105","Otu0008","BRVA7",3.66734828,"BRVA7","Breast","Vacuum",7,"BRVA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus"
"106","Otu0008","BRVA10",3.60999618,"BRVA10","Breast","Vacuum",10,"BRVA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus"
"107","Otu0013","WHRG3",3.363321512,"WHRG3","Whole chicken","Regular aerobic",23,"WHRG","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"108","Otu0008","BRVA5",3.29754849,"BRVA5","Breast","Vacuum",5,"BRVA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus"
"109","Otu0001","BRVA2",3.08901198,"BRVA2","Breast","Vacuum",2,"BRVA","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"110","Otu0013","BRRG5",2.91993899,"BRRG5","Breast","Regular aerobic",15,"BRRG","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"111","Otu0002","WHRG6",2.895698222,"WHRG6","Whole chicken","Regular aerobic",26,"WHRG","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillales_unclassified","Lactobacillales_unclassified"
"112","Otu0003","BRRG7",2.863357848,"BRRG7","Breast","Regular aerobic",17,"BRRG","Bacteria","Firmicutes","Bacilli","Bacilli_unclassified","Bacilli_unclassified","Bacilli_unclassified"
"113","Otu0003","BRRG3",2.802284363,"BRRG3","Breast","Regular aerobic",13,"BRRG","Bacteria","Firmicutes","Bacilli","Bacilli_unclassified","Bacilli_unclassified","Bacilli_unclassified"
"114","Otu0001","BRVA5",2.656508144,"BRVA5","Breast","Vacuum",5,"BRVA","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"115","Otu0005","BRMA7",2.644070634,"BRMA7","Breast","Modified atmosphere",37,"BRMA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Brochothrix"
"116","Otu0005","BRRG7",2.584503521,"BRRG7","Breast","Regular aerobic",17,"BRRG","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Brochothrix"
"117","Otu0013","BRRG10",2.54582177,"BRRG10","Breast","Regular aerobic",20,"BRRG","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"118","Otu0009","BRVA10",2.46432892,"BRVA10","Breast","Vacuum",10,"BRVA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc"
"119","Otu0003","BRRG5",2.191632371,"BRRG5","Breast","Regular aerobic",15,"BRRG","Bacteria","Firmicutes","Bacilli","Bacilli_unclassified","Bacilli_unclassified","Bacilli_unclassified"
"120","Otu0005","BRMA5",1.899660003,"BRMA5","Breast","Modified atmosphere",35,"BRMA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Brochothrix"
"121","Otu0013","BRMA2",1.879034346,"BRMA2","Breast","Modified atmosphere",32,"BRMA","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"122","Otu0005","BRMA6",1.859525734,"BRMA6","Breast","Modified atmosphere",36,"BRMA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Brochothrix"
"123","Otu0013","BRMA7",1.805636981,"BRMA7","Breast","Modified atmosphere",37,"BRMA","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"124","Otu0008","BRVA4",1.72627151,"BRVA4","Breast","Vacuum",4,"BRVA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus"
"125","Otu0005","BRMA9",1.699788012,"BRMA9","Breast","Modified atmosphere",39,"BRMA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Brochothrix"
"126","Otu0013","BRRG7",1.66481323,"BRRG7","Breast","Regular aerobic",17,"BRRG","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"127","Otu0002","BRMA4",1.645437758,"BRMA4","Breast","Modified atmosphere",34,"BRMA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillales_unclassified","Lactobacillales_unclassified"
"128","Otu0013","BRRG9",1.63978738,"BRRG9","Breast","Regular aerobic",19,"BRRG","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"129","Otu0013","BRRG3",1.62646051,"BRRG3","Breast","Regular aerobic",13,"BRRG","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"130","Otu0005","BRMA4",1.613976233,"BRMA4","Breast","Modified atmosphere",34,"BRMA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Brochothrix"
"131","Otu0005","BRRG8",1.597336738,"BRRG8","Breast","Regular aerobic",18,"BRRG","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Brochothrix"
"132","Otu0005","BRVA7",1.559792027,"BRVA7","Breast","Vacuum",7,"BRVA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Brochothrix"
"133","Otu0003","BRRG10",1.523604188,"BRRG10","Breast","Regular aerobic",20,"BRRG","Bacteria","Firmicutes","Bacilli","Bacilli_unclassified","Bacilli_unclassified","Bacilli_unclassified"
"134","Otu0003","BRRG9",1.511834275,"BRRG9","Breast","Regular aerobic",19,"BRRG","Bacteria","Firmicutes","Bacilli","Bacilli_unclassified","Bacilli_unclassified","Bacilli_unclassified"
"135","Otu0005","BRMA3",1.429054577,"BRMA3","Breast","Modified atmosphere",33,"BRMA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Brochothrix"
"136","Otu0005","BRMA10",1.41590594,"BRMA10","Breast","Modified atmosphere",40,"BRMA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Brochothrix"
"137","Otu0002","BRMA7",1.32632764,"BRMA7","Breast","Modified atmosphere",37,"BRMA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillales_unclassified","Lactobacillales_unclassified"
"138","Otu0009","BRVA8",1.31941561,"BRVA8","Breast","Vacuum",8,"BRVA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc"
"139","Otu0005","BRRG4",1.309191305,"BRRG4","Breast","Regular aerobic",14,"BRRG","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Brochothrix"
