"","Sample","Freq","Diff"
"1","BRMA1",87.4630371942066,12.5369628057934
"2","BRMA10",90.0621563606664,9.93784363933359
"3","BRMA2",96.7840075381985,3.21599246180155
"4","BRMA3",98.8138121567771,1.18618784322291
"5","BRMA4",88.3282314858552,11.6717685141448
"6","BRMA5",98.2189630090366,1.78103699096336
"7","BRMA6",98.5246645159684,1.47533548403163
"8","BRMA7",91.7119078051462,8.2880921948538
"9","BRMA8",92.3171121125448,7.68288788745515
"10","BRMA9",90.8639089242383,9.13609107576167
"11","BRRG1",86.6221965289571,13.3778034710429
"12","BRRG10",92.8801334939956,7.11986650600437
"13","BRRG2",88.4289967953206,11.5710032046794
"14","BRRG3",88.1760084731273,11.8239915268727
"15","BRRG4",90.4929197746258,9.50708022537418
"16","BRRG5",95.8035340049456,4.19646599505442
"17","BRRG6",91.2012572406078,8.79874275939223
"18","BRRG7",90.1122670495571,9.88773295044288
"19","BRRG8",91.4763293142092,8.52367068579083
"20","BRRG9",93.4591849001519,6.54081509984806
"21","BRVA1",97.9976577850922,2.0023422149078
"22","BRVA10",97.7943454314705,2.20565456852954
"23","BRVA2",96.9712668140071,3.02873318599291
"24","BRVA3",96.5033833856178,3.49661661438219
"25","BRVA4",97.975356177862,2.02464382213802
"26","BRVA5",97.234200603705,2.76579939629502
"27","BRVA6",98.2871554959756,1.71284450402443
"28","BRVA7",98.4258829179043,1.5741170820957
"29","BRVA8",98.5946767905172,1.40532320948283
"30","BRVA9",98.309268565575,1.69073143442503
"31","WHRG1",97.4874756587141,2.51252434128585
"32","WHRG10",92.3562074773404,7.64379252265955
"33","WHRG2",96.9485630687614,3.05143693123861
"34","WHRG3",98.2773164440074,1.72268355599256
"35","WHRG4",98.2253521623126,1.77464783768737
"36","WHRG5",97.0497129555627,2.95028704443735
"37","WHRG6",89.458820358818,10.541179641182
"38","WHRG7",87.4304337127441,12.5695662872559
"39","WHRG8",86.0283854007388,13.9716145992612
"40","WHRG9",90.9030663654436,9.09693363455639
